,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
298,3,58,2075.831,0,94,110,0.6756756756756757,0.32432432432432434,2199.831
299,3,59,6006.701,1,110,87,0.45361988448893653,0.5463801155110635,5527.701
300,3,60,5185.448,0,75,80,0.5980799144309692,0.40192008556903075,5185.448
301,3,61,2171.165,0,50,45,0.5453152347443707,0.45468476525562934,2171.165
302,3,62,2231.588,0,89,110,0.692078616968999,0.307921383031001,2231.5879999999997
303,3,63,6749.729,0,80,94,0.5849314804956102,0.4150685195043898,6749.729
304,3,64,1702.985,1,110,98,0.33288382694117125,0.6671161730588286,1702.9850000000001
305,3,65,4327.1,1,94,80,0.3703073414791872,0.6296926585208128,4327.1
306,3,66,2781.398,1,110,94,0.2877538096225328,0.7122461903774673,2781.3979999999997
307,3,67,2153.141,0,80,66,0.6657929226736566,0.33420707732634336,2436.141
308,3,68,5509.326,0,50,54,0.5392556836293794,0.4607443163706206,5226.326
309,3,69,3790.565,0,98,110,0.5629426447362259,0.43705735526377404,3790.565
310,3,70,1935.545,0,50,52,0.6502958918811368,0.3497041081188632,1935.545
311,3,71,5071.439,1,110,89,0.4719965797349295,0.5280034202650705,5418.439
312,3,72,1970.037,0,87,110,0.5773355752210209,0.42266442477897914,1623.037
313,3,73,1915.188,0,110,105,0.6311346987517795,0.3688653012482205,1915.1879999999999
314,3,74,1806.863,0,80,96,0.6501235883373714,0.3498764116626287,1806.8629999999998
315,3,75,3215.543,0,80,86,0.5544417461691886,0.4455582538308113,3215.5429999999997
316,3,76,3040.316,0,50,55,0.661925601750547,0.33807439824945296,3291.316
317,3,77,2795.6940000000004,1,80,74,0.49436199401578335,0.5056380059842166,2544.6940000000004
318,3,78,2434.871,0,45,50,0.7131717022300181,0.2868282977699819,2434.871
319,3,79,2171.063,0,69,80,0.6318209124632433,0.3681790875367566,2171.063
320,3,80,6490.153,0,50,53,0.4659977703455964,0.5340022296544036,6767.153
321,3,81,2569.653,1,50,40,0.4670932358318099,0.5329067641681902,2530.653
322,3,82,1734.384,1,80,88,0.22855096018134383,0.7714490398186562,1496.384
323,3,83,1816.44,0,115,110,0.6732271634615384,0.3267728365384615,1816.44
324,3,84,3418.283,1,103,110,0.36007551891556333,0.6399244810844367,3418.283
325,3,85,3388.941,1,90,80,0.4004528596294294,0.5995471403705707,3388.941
326,3,86,3212.035,1,80,72,0.4366851496473966,0.5633148503526034,3212.035
327,3,87,4191.488,1,93,80,0.54532459576364,0.45467540423636,4191.488
328,3,88,2193.673,0,80,90,0.7143946782208375,0.28560532177916254,2193.673
329,3,89,2866.639,1,88,80,0.41731032814310454,0.5826896718568955,2866.639
330,3,90,4461.154,1,80,70,0.4326088924138502,0.5673911075861499,4461.154
331,3,91,1790.7120000000002,0,80,93,0.5844389151016448,0.4155610848983553,1790.712
332,3,92,3086.176,1,82,80,0.37715993577586576,0.6228400642241342,3086.176
333,3,93,2421.588,1,50,41,0.2719626168224299,0.72803738317757,2557.5879999999997
334,3,94,5495.088000000002,0,96,110,0.5695993391160677,0.43040066088393225,5642.088000000001
335,3,95,7992.571,1,80,85,0.43112614789753506,0.568873852102465,8013.571
336,3,96,1895.259,0,60,50,0.6443068036064525,0.3556931963935475,1591.259
337,3,97,1717.5279999999998,0,41,50,0.6262388483263654,0.37376115167363455,1717.5279999999998
338,3,98,5673.799,0,110,96,0.543354943273906,0.456645056726094,5955.799
339,3,99,1735.755,0,72,80,0.5996574388394194,0.40034256116058065,1453.755
340,3,100,1521.761,0,49,50,0.649366881005299,0.3506331189947009,1521.761
341,3,101,1839.842,0,43,50,0.6633457513123967,0.33665424868760335,1839.842
342,3,102,2040.446,0,51,50,0.5357002717171867,0.4642997282828133,2040.446
343,3,103,3775.151,0,112,110,0.6297898640296663,0.37021013597033375,4164.151
344,3,104,4915.3420000000015,1,40,50,0.3985558316185564,0.6014441683814437,4526.342000000001
345,3,105,1945.35,0,50,51,0.5172586627460153,0.48274133725398466,1945.35
346,3,106,2987.0490000000004,1,85,80,0.3848391383654239,0.6151608616345762,2987.049
347,3,107,2836.683,1,50,49,0.346619981287937,0.6533800187120631,2836.683
348,3,108,3238.171,0,50,43,0.5518831667947732,0.44811683320522677,3437.171
349,3,109,3324.511,0,80,82,0.7144120247568524,0.28558797524314766,3379.511
350,3,110,1673.779,0,50,60,0.6097984263748091,0.390201573625191,1419.779
351,3,111,4260.273,1,53,50,0.34821507301650423,0.6517849269834958,4260.273
352,3,112,3245.341,1,122,110,0.34490084985835695,0.6550991501416431,3564.341
353,3,113,2464.32,0,67,80,0.702608468666679,0.2973915313333208,2145.3200000000006
354,3,114,3971.055,1,80,67,0.31444759206798867,0.6855524079320113,4366.055
355,3,115,4124.874,0,70,80,0.5383222060584352,0.46167779394156483,3729.874
356,3,116,3063.151,0,110,122,0.5653518948182521,0.43464810518174785,3251.151
357,3,117,2784.731,0,110,115,0.5486633001261971,0.4513366998738029,2596.7309999999998
358,3,118,2274.323,0,110,112,0.5922077922077922,0.4077922077922078,3117.3230000000003
359,3,119,3210.26,1,110,103,0.4241190236813869,0.5758809763186131,2367.26
360,4,0,14824.897,0,110,131,0.5494255903714125,0.45057440962858747,14824.896999999999
361,4,1,2083.157,1,47,50,0.5132005670590352,0.48679943294096495,2083.157
362,4,2,9357.174,0,50,44,0.49646204164132535,0.5035379583586747,9357.174
363,4,3,2825.048,0,57,50,0.46197523164372106,0.538024768356279,2825.048
364,4,4,1900.572,0,42,50,0.6136032172818685,0.38639678271813155,1900.5720000000001
365,4,5,4876.995,0,108,110,0.5458808641494496,0.4541191358505504,4876.995
366,4,6,1821.439,0,78,80,0.6173498656383279,0.382650134361672,1821.4389999999999
367,4,7,7493.308000000001,1,110,92,0.5518331226295828,0.4481668773704172,7736.308000000001
368,4,8,4593.317,0,50,48,0.5499178565607977,0.4500821434392022,4350.317
369,4,9,2388.264,0,110,101,0.5746067361122361,0.4253932638877639,2388.264
370,4,10,4057.351,0,46,50,0.5568142934437487,0.44318570655625134,4057.3509999999997
371,4,11,3000.593,0,80,83,0.6954887691449988,0.30451123085500115,3000.593
372,4,12,3201.176,0,50,56,0.5642926145832745,0.43570738541672555,3201.176
373,4,13,8467.339,0,50,47,0.5080622057751601,0.4919377942248399,8467.339
374,4,14,15422.37,0,110,124,0.527090615756924,0.4729093842430761,15845.37
375,4,15,22416.61,0,91,80,0.5639627784566218,0.43603722154337815,21993.61
376,4,16,2357.467,0,64,80,0.6428320830697659,0.3571679169302341,2357.467
377,4,17,19852.526,1,83,80,0.4925107837615883,0.5074892162384117,19852.526
378,4,18,14929.605,1,101,110,0.454514151917912,0.545485848082088,14929.605
379,4,19,6802.71,1,56,50,0.44466742201164733,0.5553325779883527,6802.71
380,4,20,5623.276,1,50,42,0.5373634603237986,0.4626365396762014,5623.276
381,4,21,8088.222,0,110,117,0.4880308078991135,0.5119691921008865,8088.222
382,4,22,8348.753,0,77,80,0.2577061652477052,0.7422938347522948,8348.753
383,4,23,2068.719,0,80,91,0.624874023838545,0.3751259761614551,2068.719
384,4,24,2864.606,0,44,50,0.5478735632637939,0.4521264367362061,2864.6059999999998
385,4,25,1555.129,0,50,57,0.6087007911879124,0.3912992088120876,1555.129
386,4,26,2010.556,0,50,46,0.6264577043394942,0.3735422956605058,2010.556
387,4,27,25299.521,0,110,108,0.4567776441668638,0.5432223558331363,25299.521
388,4,28,1996.359,0,133,110,0.6603396941590276,0.3396603058409724,1996.359
389,4,29,15235.493,1,131,110,0.5309157737429105,0.46908422625708945,15235.493
390,4,30,9458.254,1,126,110,0.47410480023966795,0.525895199760332,9458.254
391,4,31,1876.74,0,110,133,0.627523181061407,0.37247681893859297,1876.74
392,4,32,6732.502,0,110,126,0.6000001302400878,0.3999998697599122,6732.5019999999995
393,4,33,1564.586,0,48,50,0.5594181811340043,0.4405818188659957,1564.586
394,4,34,10629.362,0,80,77,0.506753132733444,0.493246867266556,10629.362
395,4,35,9460.517,1,117,110,0.409459295914116,0.590540704085884,9460.517
396,4,36,7210.473000000001,1,80,64,0.6227104749383137,0.37728952506168634,7210.473000000001
397,4,37,6251.0480000000025,0,80,78,0.6418658172264604,0.35813418277353953,6251.048000000001
398,4,38,6443.4230000000025,0,124,110,0.5925773862431105,0.40742261375688954,6443.423000000001
399,4,39,2842.802,0,92,110,0.5389871382636656,0.4610128617363344,3070.802
400,4,40,5514.536,1,128,110,0.5072782206986717,0.4927217793013284,5514.536
