parcode,trial,fix_item,fix_time,rt,block
1,119,2,782,3225.23,MORE
1,119,1,856,3225.23,MORE
1,119,2,563.23,3225.23,MORE
1,120,0,269,7964.301,LESS
1,120,1,1738,7964.301,LESS
1,120,2,1512,7964.301,LESS
1,120,0,426,7964.301,LESS
1,120,1,1456,7964.301,LESS
1,120,2,1306,7964.301,LESS
1,120,1,730,7964.301,LESS
1,120,2,527.301,7964.301,LESS
1,121,0,159,1743.824,LESS
1,121,1,472,1743.824,LESS
1,121,2,560,1743.824,LESS
1,121,1,552.824,1743.824,LESS
1,122,3,13,1743.824,LESS
1,122,1,758,2122.334,LESS
1,122,2,634,2122.334,LESS
1,122,1,717.334,2122.334,LESS
1,123,3,41,2122.334,LESS
1,123,1,990,2518.011,LESS
1,123,2,784,2518.011,LESS
1,123,1,703.011,2518.011,LESS
1,124,0,72,2201.475,LESS
1,124,1,696,2201.475,LESS
1,124,2,882,2201.475,LESS
1,124,1,551.475,2201.475,LESS
1,125,0,180,2131.478,LESS
1,125,1,606,2131.478,LESS
1,125,2,766,2131.478,LESS
1,125,1,579.478,2131.478,LESS
1,126,0,166,2017.429,LESS
1,126,1,844,2017.429,LESS
1,126,2,608,2017.429,LESS
1,126,1,399.429,2017.429,LESS
1,127,0,126,3241.381,LESS
1,127,1,642,3241.381,LESS
1,127,2,722,3241.381,LESS
1,127,1,692,3241.381,LESS
1,127,2,1059.381,3241.381,LESS
1,128,3,26,3241.381,LESS
1,128,1,1312,2528.386,LESS
1,128,2,708,2528.386,LESS
1,128,1,482.386,2528.386,LESS
1,129,0,132,1679.873,LESS
1,129,1,688,1679.873,LESS
1,129,2,859.873,1679.873,LESS
1,130,0,175,1513.221,LESS
1,130,1,490,1513.221,LESS
1,130,2,484,1513.221,LESS
1,130,1,364.221,1513.221,LESS
1,131,0,253,3359.407,LESS
1,131,1,562,3359.407,LESS
1,131,2,732,3359.407,LESS
1,131,1,706,3359.407,LESS
1,131,2,1106.407,3359.407,LESS
1,132,0,216,3815.203,LESS
1,132,1,552,3815.203,LESS
1,132,2,594,3815.203,LESS
1,132,1,716,3815.203,LESS
1,132,2,978,3815.203,LESS
1,132,1,759.203,3815.203,LESS
1,133,0,240,4747.633,LESS
1,133,1,778,4747.633,LESS
1,133,2,900,4747.633,LESS
1,133,1,870,4747.633,LESS
1,133,2,1602,4747.633,LESS
1,133,1,359.633,4747.633,LESS
1,134,0,176,3013.624,LESS
1,134,1,602,3013.624,LESS
1,134,2,868,3013.624,LESS
1,134,1,744,3013.624,LESS
1,134,2,623.624,3013.624,LESS
1,135,0,228,3695.847,LESS
1,135,1,1026,3695.847,LESS
1,135,2,956,3695.847,LESS
1,135,1,928,3695.847,LESS
1,135,2,557.847,3695.847,LESS
