,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
117,1,117,2901.364,1,110,115,0.653670724,0.346329276,2901.364
118,1,118,1565.164,1,110,112,0.503136152,0.496863848,1568.164
119,1,119,1559.884,1,110,103,0.488782443,0.511217557,1559.884
120,2,0,6228.547,1,110,131,0.57560723,0.42439277,6228.547
121,2,1,6635.751,1,47,50,0.533658252,0.466341748,6635.751
122,2,2,4766.744,0,50,44,0.794865808,0.205134192,4766.744
123,2,3,10945.402,0,57,50,0.697909257,0.302090743,10945.402
124,2,4,5673.265,1,42,50,0.830204315,0.169795685,5673.265
125,2,5,46657.359,1,108,110,0.119482092,0.880517908,46657.359
126,2,6,7750.691,0,78,80,0.718689868,0.281310132,7750.691
127,2,7,9776.843,0,110,92,0.552406805,0.447593195,9776.843
128,2,8,7758.235,1,50,48,0.419489017,0.580510983,7758.235
129,2,9,44526.337,0,110,101,0.912837365,0.087162635,45128.337
130,2,10,10806.455,1,46,50,0.599278187,0.400721813,10204.455
131,2,11,5936.281,1,80,83,0.663629189,0.336370811,5936.281
132,2,12,22118.048,0,50,56,0.159116379,0.840883621,22118.048
133,2,13,7867.572,0,50,47,0.629828517,0.370171483,7867.572
134,2,14,24336.379,1,110,124,0.797748472,0.202251528,24336.379
135,2,15,12568.18,0,91,80,0.835950742,0.164049258,12568.18
136,2,16,7216.421,1,64,80,0.488293479,0.511706521,7216.421
137,2,17,24450.946,0,83,80,0.221723999,0.778276001,24450.946
138,2,18,20652.52,1,101,110,0.873862367,0.126137633,20652.52
139,2,19,9962.632,0,56,50,0.656616021,0.343383979,9962.632
140,2,20,15264.738,0,50,42,0.564607821,0.435392179,15264.738
141,2,21,14577.04,1,110,117,0.69766147,0.30233853,14775.04
142,2,22,10502.538,0,77,80,0.686640726,0.313359274,10495.538
143,2,23,8938.346,1,80,91,0.643958438,0.356041562,8747.346
144,2,24,8371.705,1,44,50,0.575343385,0.424656615,8371.705
145,2,25,8634.889,0,50,57,0.4307717,0.5692283,8634.889
146,2,26,9256.349,0,50,46,0.773567799,0.226432201,9256.349
147,2,27,98982.33,0,110,108,0.923418628,0.076581372,98982.33
148,2,28,71123.695,0,133,110,0.832842629,0.167157371,71123.695
149,2,29,14323.977,1,131,110,0.668546526,0.331453474,14323.977
150,2,30,11246.8,1,126,110,0.763044369,0.236955631,11246.8
151,2,31,5729.582,1,110,133,0.600131592,0.399868408,5729.582
152,2,32,15507.063,1,110,126,0.409876877,0.590123123,15507.063
153,2,33,9584.002,0,48,50,0.704130712,0.295869288,9584.002
154,2,34,15060.043,1,80,77,0.522569311,0.477430689,15060.043
155,2,35,13755.941,1,117,110,0.535299005,0.464700995,13755.941
156,2,36,4962.179,0,80,64,0.625553442,0.374446558,4962.179
157,2,37,7058.905,1,80,78,0.653171385,0.346828615,7058.905
158,2,38,6745.102,1,124,110,0.536510782,0.463489218,6745.102
159,2,39,5223.511,1,92,110,0.605081376,0.394918624,5225.511
160,2,40,6980.156,0,128,110,0.540335309,0.459664691,4727.156
161,2,41,7323.464,1,50,58,0.503282021,0.496717979,7323.464
162,2,42,12685.652,1,54,50,0.521921191,0.478078809,12685.652
163,2,43,6234.269,0,80,69,0.595785035,0.404214965,6236.269
164,2,44,7470.982,1,105,110,0.501339179,0.498660821,7473.982
165,2,45,19803.463,0,55,50,0.608540731,0.391459269,19803.463
