,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit
34,1,35,32,80,77,0,1743.991,84,714.693,LESS,-582,1362,780,3,2,-3,-0.281222538,3,-1.047645444,0.903276565,-0.825788842,157,80,77,0,-0.059835082,0,-0.117050055,0.456398324,-0.151277666,0.151277666,-0.117050055,0,1,1,1
35,1,36,43,117,110,1,2329.644,34,2402.523,LESS,-514,1568,1054,3,1,-7,-0.656185922,7,-0.349215148,-1.668939567,-0.347952107,227,117,110,0,1.336316841,1.443617351,1.170500555,0.456398324,-0.068613382,0.068613382,1.170500555,1.443617351,0,1,1
36,1,37,40,80,64,1,3381.75,74,1358.669,LESS,-252,1750,1498,3,2,-16,-1.499853537,16,1.222253018,0.388833339,0.510465583,144,80,64,0,-0.31912044,0,-0.624266962,0.456398324,0.249887242,0.249887242,-0.624266962,0,1,1,1
37,1,38,31,80,78,0,2209.993,34,1186.315,LESS,-956,1456,500,2,1,-2,-0.187481692,2,-1.222253018,-1.668939567,-0.445575859,158,80,78,0,-0.039890055,0,-0.07803337,-0.399348534,-0.605931229,0.605931229,-0.07803337,0,0,0,0
38,1,39,46,124,110,1,3602.313,64,1465.37,LESS,390,1444,1834,3,2,-14,-1.312371845,14,0.87303787,-0.125609888,0.690423858,234,124,110,0,1.475932034,1.716734147,1.170500555,0.456398324,1.030335337,1.030335337,1.170500555,1.716734147,0,1,1
39,1,40,58,92,110,0,2506.099,84,3023.266,LESS,-294,1550,1256,2,2,18,1.687335229,18,1.571468165,0.903276565,-0.203981734,202,92,110,1,0.837691154,0.468200222,1.170500555,-0.399348534,0.19882989,0.19882989,1.170500555,0.468200222,1,0,1
40,1,41,49,110,131,1,1734.284,74,2314.899,MORE,-92,726,634,0,2,21,1.968557767,21,2.095290887,0.388833339,-0.833708824,241,110,131,0,1.615547226,1.170500555,1.989850943,-2.11084225,0.44439144,0.44439144,1.989850943,1.170500555,1,0,1
41,1,42,13,47,50,0,6555.37,64,2919.419,MORE,-3882,5110,1228,4,1,3,0.281222538,3,-1.047645444,-0.125609888,3.099835426,97,47,50,0,-1.256536731,-1.28755061,-1.170500555,1.312145182,-4.162926751,4.162926751,-1.170500555,-1.28755061,0,1,0
42,1,43,16,50,44,0,3174.566,64,1513.199,MORE,-638,1764,1126,4,1,-6,-0.562445076,6,-0.523822722,-0.125609888,0.34142329,94,50,44,1,-1.316371814,-1.170500555,-1.404600665,1.312145182,-0.219354135,0.219354135,-1.404600665,-1.170500555,0,1,0
43,1,44,7,57,50,1,2877.579,74,1177.676,MORE,-352,1472,1120,3,2,-7,-0.656185922,7,-0.349215148,0.388833339,0.099110353,107,57,50,1,-1.057086457,-0.897383758,-1.170500555,0.456398324,0.128322119,0.128322119,-1.170500555,-0.897383758,1,1,0
44,1,45,18,42,50,1,1806.31,54,1375.228,MORE,194,772,966,1,2,8,0.749926769,8,-0.174607574,-0.640053114,-0.774942509,92,42,50,0,-1.356261869,-1.482634036,-1.170500555,-1.255095392,0.792067694,0.792067694,-1.170500555,-1.482634036,0,0,1
45,1,46,51,108,110,0,3636.816,64,1251.974,MORE,-686,1854,1168,3,1,2,0.187481692,2,-1.222253018,-0.125609888,0.718575,218,108,110,0,1.156811594,1.092467184,1.170500555,0.456398324,-0.277705395,0.277705395,1.170500555,1.092467184,0,1,0
46,1,47,31,78,80,1,3650.266,100,1077.556,MORE,24,2008,2032,1,2,2,0.187481692,2,-1.222253018,1.726385727,0.729548911,158,78,80,0,-0.039890055,-0.07803337,0,-1.255095392,0.585406984,0.585406984,0,-0.07803337,1,0,1
47,1,48,58,110,92,0,3078.223,74,1222.433,MORE,-364,1728,1364,4,1,-18,-1.687335229,18,1.571468165,0.388833339,0.262816633,202,110,92,1,0.837691154,1.170500555,0.468200222,1.312145182,0.113734304,0.113734304,0.468200222,1.170500555,1,1,0
48,1,49,12,50,48,1,1259.268,94,1471.199,MORE,946,466,1412,1,2,-2,-0.187481692,2,-1.222253018,1.417719791,-1.221276367,98,50,48,1,-1.236591704,-1.170500555,-1.248533925,-1.255095392,1.706237425,1.706237425,-1.248533925,-1.170500555,1,0,1
