name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,13,2,260,10424,2.0
p1.edf,1,13,2,296,10424,2.0
p1.edf,1,13,2,234,10424,2.0
p1.edf,1,13,2,75,10424,2.0
p1.edf,1,14,3,260,2754,2.0
p1.edf,1,14,1,214,2754,2.0
p1.edf,1,14,1,216,2754,2.0
p1.edf,1,14,1,382,2754,2.0
p1.edf,1,14,1,160,2754,2.0
p1.edf,1,14,2,350,2754,2.0
p1.edf,1,14,2,220,2754,2.0
p1.edf,1,14,2,436,2754,2.0
p1.edf,1,14,1,350,2754,2.0
p1.edf,1,14,1,166,2754,2.0
p1.edf,1,15,3,261,5836,2.0
p1.edf,1,15,1,186,5836,2.0
p1.edf,1,15,1,192,5836,2.0
p1.edf,1,15,1,356,5836,2.0
p1.edf,1,15,2,400,5836,2.0
p1.edf,1,15,2,290,5836,2.0
p1.edf,1,15,2,266,5836,2.0
p1.edf,1,15,1,250,5836,2.0
p1.edf,1,15,1,212,5836,2.0
p1.edf,1,15,1,288,5836,2.0
p1.edf,1,15,1,314,5836,2.0
p1.edf,1,15,1,250,5836,2.0
p1.edf,1,15,1,228,5836,2.0
p1.edf,1,15,2,380,5836,2.0
p1.edf,1,15,2,238,5836,2.0
p1.edf,1,15,2,234,5836,2.0
p1.edf,1,15,2,268,5836,2.0
p1.edf,1,15,2,234,5836,2.0
p1.edf,1,15,1,292,5836,2.0
p1.edf,1,15,1,176,5836,2.0
p1.edf,1,15,2,382,5836,2.0
p1.edf,1,15,2,139,5836,2.0
p1.edf,1,16,3,373,3931,2.0
p1.edf,1,16,1,310,3931,2.0
p1.edf,1,16,1,230,3931,2.0
p1.edf,1,16,1,352,3931,2.0
p1.edf,1,16,2,390,3931,2.0
p1.edf,1,16,2,258,3931,2.0
p1.edf,1,16,2,194,3931,2.0
p1.edf,1,16,2,290,3931,2.0
p1.edf,1,16,2,570,3931,2.0
p1.edf,1,16,2,188,3931,2.0
p1.edf,1,16,1,312,3931,2.0
p1.edf,1,16,2,344,3931,2.0
p1.edf,1,16,2,120,3931,2.0
p1.edf,1,17,3,330,3602,2.0
p1.edf,1,17,1,158,3602,2.0
