,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
169,1,49,1278,1,0.8,0.5,0.591549296,0.408450704
170,1,50,1160,0,0.35,0.2,0.600862069,0.399137931
171,1,51,1596,0,0.2,0.35,0.614661654,0.385338346
172,1,52,1158,0,0.65,0.2,0.474093264,0.525906736
173,1,53,1504,1,0.5,0.5,0.64162234,0.35837766
174,1,54,1069,1,0,0.5,0.557530402,0.442469598
175,1,55,1009,1,0.2,0.65,0.568880079,0.431119921
176,1,56,1124,1,0.65,0.65,0.580071174,0.419928826
177,1,57,1174,0,0.5,0.2,0.563032368,0.436967632
178,1,58,1020,0,0.65,0,0.598039216,0.401960784
179,1,59,1150,1,0,0.35,0.588695652,0.411304348
180,1,60,1254,0,0.65,0.5,0.640350877,0.359649123
181,1,61,1898,0,0.5,0,0.751317176,0.248682824
182,1,62,1184,1,0.2,0.35,0.530405405,0.469594595
183,1,63,1012,0,0.8,0,0.529644269,0.470355731
184,1,64,2056,0,0.35,0.65,0.762159533,0.237840467
185,1,65,1025,0,0.2,0,0.526829268,0.473170732
186,1,66,1123,1,0.35,0.5,0.59839715,0.40160285
187,1,67,1224,1,0,0.2,0.640522876,0.359477124
188,1,68,1927,0,0.5,0.2,0.769071095,0.230928905
189,1,69,1103,0,0.8,0.5,0.605621034,0.394378966
190,1,70,1177,1,0,0.5,0.576890399,0.423109601
191,1,71,1173,1,0.5,0.65,0.507246377,0.492753623
192,1,72,1127,1,0.35,0.35,0.562555457,0.437444543
193,1,73,1540,1,0.2,0.05,0.703246753,0.296753247
194,1,74,1574,1,0.35,0.5,0.620076239,0.379923761
195,1,75,1212,0,0.2,0.05,0.655940594,0.344059406
196,1,76,1247,1,0.2,0.35,0.594226143,0.405773857
197,1,77,1096,1,0.2,0.65,0.605839416,0.394160584
198,1,78,1163,0,0.65,0.2,0.626827171,0.373172829
199,1,79,1068,0,0.35,0,0.605805243,0.394194757
200,1,80,1829,1,0.5,0.8,0.504962779,0.495037221
201,1,81,1958,1,0.05,0.5,0.592682927,0.407317073
202,1,82,1335,0,0.5,0.2,0.513684211,0.486315789
203,1,83,1560,0,0.35,0.5,0.541025641,0.458974359
204,1,84,1322,0,0.5,0.2,0.710059172,0.289940828
205,1,85,1545,0,0.65,0.5,0.705323194,0.294676806
206,1,86,1385,0,0.65,0.05,0.573584906,0.426415094
207,1,87,2884,0,0.2,0,0.666666667,0.333333333
208,1,88,1358,1,0.05,0.2,0.627393225,0.372606775
209,1,89,1663,0,0.35,0,0.449659349,0.550340651
210,1,90,1382,0,0.2,0,0.672955975,0.327044025
211,1,91,3400,0,0.65,0.2,0.614700652,0.385299348
212,1,92,1058,0,0.5,0,0.604914934,0.395085066
213,1,93,882,1,0.65,0.65,0.496598639,0.503401361
214,1,94,1057,1,0.2,0.8,0.586565752,0.413434248
215,1,95,1229,1,0,0.65,0.65012205,0.34987795
216,1,96,1375,0,0.05,0.5,0.703272727,0.296727273
217,1,97,819,0,0.35,0.2,0.514415781,0.485584219
218,1,98,1925,1,0.2,0.2,0.826625387,0.173374613
219,1,99,1062,1,0,0.2,0.628060264,0.371939736
220,1,100,1320,1,0.35,0.5,0.675757576,0.324242424
221,1,101,1068,1,0.65,0.35,0.605805243,0.394194757
222,1,102,1506,0,0.35,0.5,0.714991763,0.285008237
223,1,103,883,1,0.05,0.2,0.456398641,0.543601359
224,1,104,959,1,0.5,0.5,0.561001043,0.438998957
225,1,105,1317,1,0.05,0.2,0.548215642,0.451784358
226,1,106,1176,0,0.65,0.35,0.657312925,0.342687075
227,1,107,1196,0,0.65,0.5,0.643812709,0.356187291
228,1,108,1045,0,0.65,0.2,0.615311005,0.384688995
229,1,109,1060,0,0.5,0.35,0.610377358,0.389622642
230,1,110,1112,0,0.5,0.35,0.644784173,0.355215827
231,1,111,1471,0,0.65,0.2,0.764350453,0.235649547
232,1,112,1188,0,0.65,0.65,0.714285714,0.285714286
233,1,113,1411,0,0.65,0.5,0.56405694,0.43594306
234,1,114,1345,1,0,0.35,0.77034358,0.22965642
235,1,115,992,1,0.2,0.65,0.577620968,0.422379032
236,1,116,816,0,0.5,0,0.49877451,0.50122549
237,1,117,1740,1,0.2,0,0.53133515,0.46866485
238,1,118,1032,1,0.65,0.5,0.627906977,0.372093023
239,1,119,1124,1,0,0.65,0.640569395,0.359430605
240,2,0,4138,0,0.95,0,0.743738466,0.256261534
241,2,1,1615,0,1.1,0,0.575332866,0.424667134
242,2,2,1521,0,0.95,0.5,0.575352635,0.424647365
243,2,3,1833,0,2.3,0,0.609375,0.390625
244,2,4,1921,1,0.5,2.6,0.367989918,0.632010082
245,2,5,1472,0,2,0.05,0.529868115,0.470131885
246,2,6,3630,0,1.1,0.2,0.27813041,0.72186959
247,2,7,2730,0,1.25,0.35,0.424542125,0.575457875
248,2,8,5770,0,2.75,2.15,0.268957992,0.731042008
249,2,9,2833,0,0.05,0.2,0.360460929,0.639539071
250,2,10,1616,0,0.65,0,0.594059406,0.405940594
251,2,11,1776,1,0,1.4,0.369008536,0.630991464
252,2,12,1554,1,0.2,1.95,0.521060842,0.478939158
253,2,13,2881,0,0,0,0.51333083,0.48666917
254,2,14,2592,0,0.65,0,0.617857143,0.382142857
255,2,15,1966,1,0.95,2.3,0.378343949,0.621656051
256,2,16,4961,1,1.25,0.35,0.604716791,0.395283209
257,2,17,4289,1,0,0,0.308449974,0.691550026
258,2,18,2382,1,2,3,0.518683274,0.481316726
259,2,19,1627,0,3,0,0.589706934,0.410293066
260,2,20,1506,1,0,2,0.490566038,0.509433962
261,2,21,3071,1,0,2.75,0.300760043,0.699239957
262,2,22,1683,1,0.5,2.9,0.700960219,0.299039781
263,2,23,1869,0,2.3,0.95,0.515248796,0.484751204
264,2,24,1236,0,0.35,0.05,0.412621359,0.587378641
265,2,25,5758,1,3,2.3,0.338659257,0.661340743
266,2,26,3641,0,1.1,1.25,0.288382313,0.711617687
267,2,27,1984,0,0,0,0.644891122,0.355108878
268,2,28,2387,1,0.35,3,0.658591297,0.341408703
269,2,29,1672,1,0.95,1.95,0.479665072,0.520334928
270,2,30,3178,0,0.35,1.1,0.413282732,0.586717268
271,2,31,4034,0,1.7,1.25,0.634719711,0.365280289
272,2,32,2266,1,0.2,1.25,0.352661597,0.647338403
273,2,33,9110,1,2.75,2.15,0.577792702,0.422207298
274,2,34,1914,0,0.95,0.65,0.607843137,0.392156863
275,2,35,2310,1,2.6,2,0.466666667,0.533333333
276,2,36,3482,0,0.35,0.5,0.301550833,0.698449167
277,2,37,2185,1,0,2.75,0.338672769,0.661327231
278,2,38,1643,1,0.5,0.65,0.371272063,0.628727937
279,2,39,6848,1,1.1,2.3,0.313437452,0.686562548
280,2,40,3014,0,1.95,0.95,0.736674622,0.263325378
281,2,41,1248,0,1.95,0.2,0.500801282,0.499198718
282,2,42,1962,0,2,0,0.300713558,0.699286442
283,2,43,1814,1,0.35,2.85,0.448732084,0.551267916
284,2,44,2794,1,0,0,0.432355047,0.567644953
285,2,45,4583,0,0.35,0.5,0.418066768,0.581933232
286,2,46,5363,1,0.2,0.2,0.528062652,0.471937348
287,2,47,3832,1,0.35,1.25,0.698851775,0.301148225
288,2,48,1041,0,2.15,0,0.540826129,0.459173871
289,2,49,2045,1,0.05,2.75,0.44205379,0.55794621
290,2,50,1479,0,2.6,0.5,0.564570656,0.435429344
291,2,51,1750,0,0.35,1.25,0.598285714,0.401714286
292,2,52,2726,0,2.9,1.1,0.631327953,0.368672047
293,2,53,2387,1,0.2,0.05,0.424801005,0.575198995
294,2,54,1629,1,0.5,2.6,0.475138122,0.524861878
295,2,55,3360,0,2.75,0,0.678628136,0.321371864
296,2,56,1625,0,2,2.6,0.698461538,0.301538462
297,2,57,1991,1,0,0.65,0.485183325,0.514816675
298,2,58,5695,1,0,0,0.431606673,0.568393327
299,2,59,1470,1,0.2,1.1,0.446258503,0.553741497
300,2,60,1108,1,0,2.3,0.634476534,0.365523466
301,2,61,1263,1,0,0.5,0.581947743,0.418052257
302,2,62,1223,1,0.65,2.3,0.592705167,0.407294833
303,2,63,944,1,0,2.15,0.579449153,0.420550847
304,2,64,966,0,3,0.35,0.610766046,0.389233954
305,2,65,1471,0,2.9,0.5,0.586276488,0.413723512
306,2,66,1325,0,2.3,0.95,0.708679245,0.291320755
307,2,67,2047,0,0.5,1.7,0.788959453,0.211040547
308,2,68,1318,1,0,0.65,0.632776935,0.367223065
309,2,69,1410,0,2.6,2.75,0.673758865,0.326241135
310,2,70,1109,0,1.1,0.65,0.647430117,0.352569883
311,2,71,2158,1,0,0.35,0.616311399,0.383688601
312,2,72,3687,0,1.25,1.7,0.402495254,0.597504746
313,2,73,2117,0,1.1,1.4,0.514879547,0.485120453
314,2,74,1499,0,2.15,2.75,0.708779443,0.291220557
315,2,75,871,1,1.25,2.15,0.52238806,0.47761194
316,2,76,1230,0,2.15,0.5,0.52601626,0.47398374
317,2,77,1466,0,1.25,0.2,0.637789905,0.362210095
318,2,78,1764,1,2.3,2.85,0.487528345,0.512471655
319,2,79,2222,1,0,0.35,0.481548155,0.518451845
320,2,80,1351,0,0.35,0,0.564766839,0.435233161
321,2,81,1418,1,0.5,0.95,0.46351243,0.53648757
322,2,82,1152,1,0,1.1,0.383680556,0.616319444
323,2,83,2764,1,1.25,1.1,0.420890937,0.579109063
324,2,84,2555,1,2.75,2.6,0.344319167,0.655680833
325,2,85,1966,1,0,3,0.441483198,0.558516802
326,2,86,1839,1,0.65,1.1,0.488372093,0.511627907
327,2,87,1619,0,2.15,1.25,0.567634342,0.432365658
328,2,88,4705,1,2.3,3,0.514011613,0.485988387
329,2,89,1404,0,0.65,0.5,0.530351438,0.469648562
330,2,90,2197,0,2.3,0,0.39195231,0.60804769
331,2,91,2248,0,2.85,2.3,0.582466568,0.417533432
332,2,92,2783,0,2.3,1.1,0.445177246,0.554822754
333,2,93,1276,1,0.5,0.35,0.686520376,0.313479624
334,2,94,1925,0,0.35,0,0.426191844,0.573808156
335,2,95,1836,0,3,2,0.670461354,0.329538646
336,2,96,2134,0,2.3,0.65,0.745822785,0.254177215
337,2,97,1352,1,0,2.15,0.479462285,0.520537715
338,2,98,1285,0,2.85,0.35,0.692607004,0.307392996
339,2,99,1344,1,0,0.95,0.370535714,0.629464286
340,2,100,1834,1,1.7,0.5,0.294047619,0.705952381
341,2,101,2169,1,1.1,0.35,0.419066534,0.580933466
342,2,102,1192,0,2.15,0,0.507550336,0.492449664
343,2,103,1448,1,1.1,2.9,0.335635359,0.664364641
344,2,104,1618,1,0.05,2,0.551297899,0.448702101
345,2,105,2337,0,0.2,0.2,0.480263158,0.519736842
346,2,106,1817,0,2.75,0,0.576774904,0.423225096
347,2,107,953,0,2.75,0.05,0.580272823,0.419727177
348,2,108,1666,1,0.65,0.95,0.614645858,0.385354142
349,2,109,1120,0,2.6,0.5,0.634821429,0.365178571
350,2,110,1819,1,0.95,2.3,0.5346177,0.4653823
351,2,111,1672,1,1.4,1.1,0.539473684,0.460526316
352,2,112,4290,0,0.5,0,0.677622378,0.322377622
353,2,113,1477,1,2.15,2.75,0.519972918,0.480027082
354,2,114,1372,1,0,2.3,0.497084548,0.502915452
355,2,115,1507,1,0.5,2.15,0.427339084,0.572660916
356,2,116,2567,0,1.4,0,0.420335021,0.579664979
357,2,117,1513,1,0,0,0.437541309,0.562458691
358,2,118,1648,1,0.05,0.35,0.36407767,0.63592233
359,2,119,1125,1,0.5,0.35,0.568888889,0.431111111
360,3,0,3916,0,0,0,0.686414709,0.313585291
361,3,1,2427,0,2.45,0.65,0.726170799,0.273829201
362,3,2,3746,1,0.05,0.35,0.421529745,0.578470255
363,3,3,3621,0,1.1,0.35,0.919053549,0.080946451
364,3,4,2167,1,1.55,0.95,0.293121693,0.706878307
365,3,5,2378,0,2.45,1.55,0.548420508,0.451579492
366,3,6,3483,0,1.1,0.65,0.555693453,0.444306547
367,3,7,2759,1,0,0.95,0.498562628,0.501437372
368,3,8,11236,1,0.05,0.65,0.677750522,0.322249478
369,3,9,2620,1,0.05,0.95,0.394656489,0.605343511
370,3,10,5035,0,0.95,1.1,0.578008915,0.421991085
371,3,11,6939,0,1.4,1.25,0.644098068,0.355901932
372,3,12,2210,1,0,0.95,0.346639717,0.653360283
373,3,13,1773,1,0.05,1.4,0.317540891,0.682459109
374,3,14,1790,1,0,0.65,0.423963134,0.576036866
375,3,15,4010,1,1.55,0.2,0.197738627,0.802261373
376,3,16,2599,1,0,1.25,0.374350087,0.625649913
377,3,17,8879,0,2.45,0.65,0.436469567,0.563530433
378,3,18,2397,0,1.4,0.65,0.493087558,0.506912442
379,3,19,2316,0,0.65,0.05,0.620542083,0.379457917
380,3,20,1897,0,1.7,0.65,0.654320988,0.345679012
381,3,21,7320,1,0.5,0.65,0.457377049,0.542622951
382,3,22,3510,0,0.05,0,0.541025641,0.458974359
383,3,23,2683,1,0.05,1.55,0.336936265,0.663063735
384,3,24,1943,1,0.05,0.65,0.357179619,0.642820381
385,3,25,1684,0,0.65,0.2,0.621584699,0.378415301
386,3,26,3811,1,0.95,1.4,0.200332963,0.799667037
387,3,27,1739,1,0.5,1.25,0.50509165,0.49490835
388,3,28,2891,0,0.8,0.35,0.530983302,0.469016698
389,3,29,4217,1,0.65,2.3,0.463041844,0.536958156
390,3,30,6103,1,0.95,0.95,0.321932959,0.678067041
391,3,31,5579,0,0.8,0.8,0.525139665,0.474860335
392,3,32,4646,1,0.8,0.35,0.399483427,0.600516573
393,3,33,4253,1,0.05,0.95,0.505180069,0.494819931
394,3,34,2616,1,1.25,0.95,0.338333333,0.661666667
395,3,35,5075,0,0.95,0.8,0.501240695,0.498759305
396,3,36,2093,0,0.65,0.8,0.627027027,0.372972973
397,3,37,4899,1,1.1,1.55,0.381082934,0.618917066
398,3,38,4563,1,1.1,0.95,0.341442034,0.658557966
399,3,39,2354,0,0.95,0,0.492351816,0.507648184
400,3,40,3952,1,0,0.05,0.403772267,0.596227733
401,3,41,1354,0,1.25,0.5,0.581240768,0.418759232
402,3,42,1708,1,0.95,1.1,0.428571429,0.571428571
403,3,43,1662,0,0.95,1.25,0.605294826,0.394705174
404,3,44,3300,0,1.4,0.95,0.859922179,0.140077821
405,3,45,2187,1,0.35,1.55,0.558042686,0.441957314
406,3,46,1537,0,0.95,0,0.7648,0.2352
407,3,47,4601,1,0.05,0.95,0.777657031,0.222342969
408,3,48,1768,0,0,0.05,0.610859729,0.389140271
409,3,49,2069,0,1.7,1.4,0.74818753,0.25181247
410,3,50,3884,1,0,0,0.381050463,0.618949537
411,3,51,1877,1,0.05,1.1,0.395311668,0.604688332
412,3,52,1563,0,1.4,0,0.679400749,0.320599251
413,3,53,1706,1,0,1.1,0.369284877,0.630715123
414,3,54,4268,0,0.95,0.95,0.883576914,0.116423086
415,3,55,1762,1,0.65,1.7,0.39046538,0.60953462
416,3,56,1773,1,0.35,1.1,0.46249295,0.53750705
417,3,57,7000,0,0.95,0.05,0.822428571,0.177571429
418,3,58,3982,0,0.65,0,0.661911171,0.338088829
419,3,59,1869,0,0.95,0,0.614966807,0.385033193
420,3,60,2105,0,0.95,0,0.56530936,0.43469064
421,3,61,1507,0,0.95,0.05,0.569343066,0.430656934
422,3,62,2742,1,0.35,0.8,0.307075128,0.692924872
423,3,63,2430,1,0.05,0.65,0.314669135,0.685330865
424,3,64,2550,1,0,0.5,0.294092281,0.705907719
425,3,65,2499,1,1.1,0.5,0.474531998,0.525468002
426,3,66,3249,0,0.95,1.1,0.538319483,0.461680517
427,3,67,2161,1,0,1.55,0.373900972,0.626099028
428,3,68,2270,1,0.8,0.95,0.464317181,0.535682819
429,3,69,2322,0,0.65,0,0.517226529,0.482773471
430,3,70,1885,1,0,0.05,0.335092348,0.664907652
431,3,71,2328,1,0.05,0.95,0.352233677,0.647766323
432,3,72,1789,1,0,0.95,0.382563435,0.617436565
433,3,73,3082,1,1.1,0.95,0.275146009,0.724853991
434,3,74,2710,1,0.95,2.3,0.49298893,0.50701107
435,3,75,3318,0,2.45,1.1,0.551235684,0.448764316
436,3,76,1596,0,1.55,0.05,0.644110276,0.355889724
437,3,77,2020,1,0.95,1.55,0.319308357,0.680691643
438,3,78,1498,0,1.25,0,0.603471295,0.396528705
439,3,79,3854,1,0.35,0.8,0.484172289,0.515827711
440,3,80,3897,0,0.95,0.8,0.55667001,0.44332999
441,3,81,1515,0,0.95,1.55,0.599376461,0.400623539
442,3,82,2095,1,0.8,0.65,0.494976203,0.505023797
443,3,83,1847,0,1.55,0.95,0.740119112,0.259880888
444,3,84,3787,1,0.65,0.5,0.401118881,0.598881119
445,3,85,3488,0,1.55,1.1,0.624158816,0.375841184
446,3,86,4082,1,0.8,0.95,0.20292887,0.79707113
447,3,87,2037,1,0.2,0.65,0.533420708,0.466579292
448,3,88,1874,1,0.8,0.8,0.415154749,0.584845251
449,3,89,1663,1,0,1.4,0.408899579,0.591100421
450,3,90,5986,0,0.8,0.35,0.720335954,0.279664046
451,3,91,7087,1,1.25,1.4,0.177313805,0.822686195
452,3,92,1695,1,0,0.65,0.397640118,0.602359882
453,3,93,1739,1,0.65,1.4,0.353076481,0.646923519
454,3,94,3157,0,2.3,0.65,0.534836066,0.465163934
455,3,95,1509,0,1.1,0,0.571540266,0.428459734
456,3,96,4811,1,0.65,2.45,0.401586308,0.598413692
457,3,97,1924,0,0.95,0.05,0.616309462,0.383690538
